Frame,Left Hip Flexion/Extension,Right Hip Flexion/Extension,Left Knee Flexion/Extension,Right Knee Flexion/Extension,Left Ankle Dorsiflexion/Plantarflexion,Right Ankle Dorsiflexion/Plantarflexion,Pelvic Tilt
0,166.82475261603366,139.0768478894631,177.163092578349,175.96560437108883,60.41656516343943,29.2459405653432,14.797133747537405
1,179.3687464624203,142.35906180570154,178.9901177833201,174.04948246891038,46.621677063646466,26.509082620522527,14.777265005885221
2,178.88843209058814,141.87378554717665,179.2385905946415,173.69838702262356,46.23926421827579,26.38557656013538,14.775073528261325
3,178.3248524429551,141.61228653926815,179.08729450711675,173.41938537179476,45.52214584233532,26.430871743599482,14.7721981511018
4,178.94681209836165,142.29232430703226,178.4156179903964,173.21412998777976,45.87647832907689,26.863613143914034,14.918227096105946
5,177.4910130884605,145.42673416103534,177.58538556779106,172.0789631745096,44.85101829001386,26.83121631798678,15.25062122027853
6,177.86469113327672,141.22988496239793,177.7773081959443,173.1322620125996,45.837262125772234,27.58582330236622,15.386113883362635
7,179.06029485982873,139.67125109428414,176.5319417941186,172.92275533762881,44.253317136518355,27.44119772017276,15.908989537814682
8,178.93219796528606,139.53974734729286,176.41000870766663,173.87632300146316,44.31999460145349,28.061456013386216,16.065138058740782
9,173.21163808146255,131.11130326163038,178.3884712681723,176.30493149941103,44.91106470506715,26.775959377249748,16.04329215014401
10,172.94962384682455,130.52896256410148,177.4760454168109,175.92629688284785,45.45197217684381,27.500545775661134,15.925094710237973
11,174.52150589204535,132.1536011139744,175.52498153224857,175.12673205851326,44.575464975906115,27.03091433696005,15.879418543642055
12,176.79035179759865,134.47967968778522,176.22438551362,175.29335401639452,49.39147820783394,28.210205946827895,16.221142032657227
13,175.8641350059489,135.82431813175677,175.4877325407262,175.29535194355927,48.38772547041634,28.511986491646628,16.37422724325199
14,174.9465406602494,135.0563107099897,176.558177773599,175.08794060230215,49.12246311052345,29.05480666530492,16.366706880507806
15,173.24591072312245,136.08729998556728,173.66303402725345,173.7954472284207,47.83369754948342,29.261652247491305,16.23565640581726
16,170.08985712690716,137.10234515063757,169.95780200369813,172.00432408128216,45.95871361646004,29.38411293443858,16.18817316724048
17,164.79006791576478,141.06556673328652,166.70778487569325,169.44894294380552,46.88835590843077,29.670334084458677,15.911390605493676
18,162.9703862684726,141.39617912019477,165.1760194692667,166.8366371944747,46.187287814616234,30.08309315687977,15.839387712664216
19,159.39729885100718,144.52639012502607,163.24243758845088,164.3948432804237,46.969569474349186,30.103309953442324,15.840328076267456
20,144.15195617175223,150.65525838328668,156.24187410954156,156.99139761028732,61.17321392755327,32.95624357142774,16.047029989953074
21,116.31637622933623,149.87110584948678,136.11926897489144,154.57122065175685,70.35818504215224,32.988478775884836,15.993949081185184
22,106.39540007694846,148.3622578813895,125.14529572161796,145.6282972769488,68.60050013699889,34.596383250938246,15.929486349141966
23,119.56565874760568,145.90621858963624,136.64265061406937,154.12971589562986,62.79607538813053,34.11793982561352,15.820984197604863
24,110.48303168655428,146.84584945071413,127.4686893982638,142.4279532471714,61.635493230589766,34.65591450449414,15.784554840495831
25,107.34697198876633,139.44480169437008,130.4314961969008,134.7055019765272,66.9115724830641,37.43414943850135,15.229368859119747
26,104.94366331272893,136.72626165233154,125.19918467899494,138.0638322991533,62.4538314140418,39.17709539494285,14.493904528770495
27,85.58272926622924,131.10972287830958,110.15465905433997,134.05243337735422,61.428648484666795,38.53861244487488,14.210211152239214
28,84.62544921783937,133.0704536870999,108.78422607779959,137.82966540195957,57.05576907924776,37.12159982855122,14.015748392475837
29,87.12591769912527,138.07471483609987,111.47125034770306,145.82971173571104,57.72405087720806,34.87893231640333,13.97404875878607
30,78.62066075963492,136.2483893524805,103.70056631344373,144.79145590485294,58.00882121483611,30.467188858412136,13.693625662758958
31,71.41948404837537,134.9535103961279,98.73819143676428,145.48164613634384,61.06264265347545,29.298596838246883,13.469262578854373
32,56.838989454939586,131.71625800553846,83.69503884910009,141.47210488879455,58.01549360406048,27.91736407436359,13.191910015572397
33,51.04593725556932,122.23426984267437,75.38311312802361,129.2946407362134,55.00182652306289,29.94063293023266,12.862128950814515
34,49.07416958094003,122.16155623242378,74.7755315748197,130.68195350217817,56.94524422276945,29.500345010316916,12.666333155257384
35,49.359316235961636,124.16298749041252,73.09878862628818,133.05207613609716,55.337796539478454,30.319611274001552,12.554403940164843
36,47.92510328775273,123.03514774458394,71.36516754020309,132.13954214286457,55.95535583975974,29.286028115558842,12.376967906159301
37,45.94728437863396,123.16435738710899,65.19830380051589,131.89051116480584,51.504484898643874,27.39303624771648,12.383241636939012
38,45.97034032747434,124.88127530512661,66.06460518666053,135.47024567798246,52.813781574582734,27.101616043606867,12.2888554869307
39,46.39007113772717,125.92672949150239,66.5672280434782,137.22716792458996,53.85704211892263,26.98214739363315,12.31927465268586
40,47.04326909910895,123.59220133229374,66.30866409117625,135.9032277562616,54.434187391428765,27.351622535332503,12.38151469026779
41,45.62074013203822,123.31569969447852,66.44769915128984,135.6578855333521,55.91902940844322,26.922402761952398,12.434110357657145
42,45.09383347186851,123.46741059282742,67.93304183654377,136.25252876128036,58.647795300881135,27.42707694844365,12.48109115935121
43,44.82113618623363,124.43011136100617,66.02028395150869,136.1454369072617,56.24584323336749,27.162183075275713,12.514627680481174
44,43.258225001905444,126.21883169269168,67.2215015247088,135.6531036779931,57.93958743158909,27.099673011540407,12.546479566714844
45,46.426427355929455,124.29987955609147,70.3454012959029,134.19506975935766,59.445632251015596,28.728885682280655,12.603493983627784
46,48.96205023715548,124.30429138306998,73.68663513085988,133.647598691316,60.93069654505148,30.604736445293618,12.617087121590586
47,51.21602579219232,127.42436002175026,76.45194410700721,134.03521144701324,61.16547744231856,31.221601934350943,12.66515963190912
48,58.78893204083603,125.81145060728656,78.01963417770494,130.1870419397838,56.28006317224235,32.643449017073884,12.721199579309914
49,63.35030314134168,128.59268853625397,82.78439931611014,131.4939598066062,57.04606868923795,33.6628718875067,12.776680457137848
50,67.43691244066501,126.73568112077622,83.52129120609611,128.15921750483747,55.16654317672003,35.2631178466371,12.807811373487402
51,75.40537211130481,128.718047064,93.22180284996918,128.97548379702678,59.27133937056574,34.18054773041223,13.17917203758936
52,85.00125565911245,131.35007137083437,101.8509809900499,131.24286500793974,57.871708289412524,37.75413743483001,13.508699301535
53,97.43441078231201,134.63173066640422,117.72788172710497,133.27041009748513,64.21197120660018,40.2977565073644,14.08927897494297
54,102.61648022059524,140.10958754070896,121.63726758686398,140.16291094555478,63.86285872130928,36.59417515570855,14.455014390090186
55,111.04502673770114,142.88501953321526,122.05323963256502,139.4094733932196,57.66504483492005,32.52123914372511,15.355176846957246
56,110.10354082409498,150.00994308847075,121.08967678431362,141.4791965124077,53.241355872246174,30.601915242640892,15.333948972730566
57,116.82438653958657,152.71181328299824,130.0745951972043,140.54515171351335,59.855826604606754,30.913153944628448,15.503042916212227
58,121.18221735695285,153.94449506335013,133.62730296327615,135.31212176900084,63.15531335754408,35.0477469914451,15.830410625930236
59,141.8987753195285,145.89551243827535,150.7085404005853,159.13354712726974,64.0875161109762,32.68305505894991,15.931486178855337
60,154.18990503681258,136.0465279283664,163.41495649344256,167.16811559472617,66.93025196098667,32.58634555145699,16.17708188233847
61,156.23254952641133,134.66731673407722,165.4963951915663,169.32187361035233,67.45528245723898,32.95441566770209,16.18586768526998
62,155.91226062415117,133.1623545240683,164.75133645889025,171.26034145519327,69.02881225495979,32.59445642636494,16.166240917669395
63,159.50174460179048,133.5140875177314,170.35921587603923,172.68289346090666,72.11398004888184,32.27007057090809,16.198187588568214
64,164.11357871568268,132.94395887071587,173.17813552583553,172.4126138902402,71.17651562357335,33.365386934900734,16.05081803979739
65,168.1050447770722,133.35220757977814,164.72272040509344,170.66799062178606,57.24102276844609,29.807911660259986,15.736113216319918
66,170.78601348389103,134.8321811167229,161.20262995108666,168.21937411192928,50.6806728591898,28.553516972510593,15.708908643699493
67,173.47458106577454,133.71436726536948,161.95485146238659,167.41965794396887,48.927546359782404,26.743565929074844,15.381762280575515
68,174.23845161318607,132.30808036857223,164.48258997338536,168.08702424712487,50.77824863301051,26.062628783749016,15.208992177671298
69,174.05802397289943,132.2073199043796,165.22259601357715,168.8481159723227,51.022826340850585,26.45345436710569,15.127955475882123
70,171.02872149952998,131.35876306542002,161.52815535485092,168.43995213942225,49.622382558654195,24.870176799319385,15.17629380133778
71,169.97792465852686,131.9594325896113,161.13706609156043,168.95478988373978,49.45504760259361,26.240923454433307,15.199637389457527
72,167.65737194836157,129.3845197762036,163.19465745637268,170.1486757251226,52.857694499476665,26.93139098992622,15.112336150365229
73,167.0511159900799,128.34401209673018,164.14431138718504,170.416779873329,53.73711348887992,27.120559895389867,15.059951721556985
74,166.15504175332507,128.51259124155874,161.9701565745111,170.57350972865714,51.76132007013185,27.423397557659243,15.011044358200738
75,169.35441819075825,129.5931250065509,162.78764322184082,170.93450819608242,48.78676043891348,26.98394891403398,14.921552374315446
76,174.04379484259067,129.83742328232162,163.00257592551736,170.82129321936583,43.50638419907717,27.039243083625276,14.960367226533101
77,173.61036625209462,132.08529053540437,163.75614047000238,169.89657089423997,46.34764072223231,28.750611971017342,14.762043535584471
78,174.49065113241278,132.75733826921115,164.9455109179253,169.67533643078824,48.19705526319461,29.59989516352796,14.531129031077946
79,175.35145987068088,134.3606462404064,166.24221144473745,169.2336970321539,47.01545445856255,29.1591198116017,14.411954125938303
80,174.24014056023535,133.81692273607467,169.54964123547123,172.8809895556664,48.21036097077921,28.229624274010202,14.484563559952575
81,173.53629102133152,134.30295223424403,171.1362210365165,173.76255434907955,49.2508390439676,28.341685646445036,14.531396133547815
82,170.29271763694598,139.0383268237984,171.70242547451366,174.2162037428586,50.732710317016114,29.11096294945601,14.663021993977512
83,174.93091288021375,139.1096918509291,174.6239550405935,175.3260298310723,48.94508682355614,27.361341879074466,15.158221170509018
84,175.24933622954504,141.54182362956493,169.62958506255853,173.88277289386502,48.02910278432013,30.4875991529012,15.525844665318761
85,176.45430465415154,147.31620419949144,169.91248992867725,171.46493606957512,53.385048218909695,35.67525102262047,15.312497571846022
86,166.70929577899693,163.52096520947075,159.11627322574867,159.05230988909724,53.389803605037706,41.55383627926142,15.390846335494471
87,140.5635058762676,167.42128549664488,140.8421385517804,160.1027144229299,63.31220424187731,45.71191768662113,16.160276680558876
88,124.56651246856846,165.92272722255964,122.05839323286182,170.9472212477216,61.053013433236174,52.640399730363896,16.0823202861404
89,119.1354329777507,157.12937737768846,115.59671107133362,176.07470229860618,62.314475126126844,51.583364747321546,16.016726277349957
90,129.94316746597917,163.15808491595598,118.33852045658773,178.0587570552755,60.25842120101046,64.47655265819911,15.874436998988871
91,131.4328543591872,157.50077643746386,119.49284702747555,168.5381196072226,65.43015990286311,73.91228325327599,15.760184963443955
92,119.8831698186837,167.5183119015088,108.8832769166355,178.88474448076045,60.37947458600363,70.3073146969388,15.23620078370491
93,107.6391413101827,166.67459138595092,97.70183405954872,176.50321142584116,59.309340391022,66.41391443596693,14.993490473004877
94,98.98328751101873,163.9728544590858,90.52686759390812,178.55188045167014,60.096400300921935,64.44082315088947,14.94284826656907
95,88.94491789164479,161.15829885851872,80.63474461714439,179.08760455532,55.96810154305669,64.41652314265397,14.949336599156151
96,81.98395170290564,160.45534491312452,76.94943848821842,178.84006026445678,55.97240106554616,67.26437562809947,14.987801791609199
97,77.90947321052366,165.24405208377098,74.46363069203545,175.12777240478883,56.09317420323443,65.51989926641538,15.094271674255644
98,75.40981351828705,166.62501635128987,73.85012323306724,172.4254161446076,54.91395725711347,63.720782825082736,15.09094499103405
99,74.54347540306544,166.69820376590286,73.13882830762853,173.36430511536983,55.91317319071244,63.563376578921925,15.10540657337743
100,76.51965830007195,162.165128311946,76.20272297019585,172.52782329085406,56.27613898530351,58.3196203242112,15.088318102007722
101,78.46878965423006,160.190927455469,79.6629142153351,172.31960742589953,57.007359158540254,58.16144233333151,15.015661691031568
102,79.5488960741961,158.8815861702996,80.75250247859313,172.0268778751672,58.10277120996037,58.02157816741923,14.9153915326922
103,81.79652467501685,157.35603056659352,82.00466135795516,173.50173868344618,60.41698104409839,58.75793475338738,14.866061119598571
104,83.38322138210773,154.00932619015543,81.46692938125949,177.33064517654145,61.206461986566865,59.243298824284054,14.83449313566425
105,85.46281428280106,153.72425295699338,81.50354004768496,178.90786812078645,63.07355988763587,60.08332300010551,14.70873069263566
106,99.3633794906653,159.58802694436412,94.19880127889562,179.10012882963065,60.40197084377725,65.30848220851954,14.471412119904702
107,113.7031338212632,164.43748374207746,104.13511608751055,174.86445194920864,61.074844499106064,74.0247797220231,14.383593328452633
108,123.6174887974006,168.90438765641173,110.28751904210338,178.141894312799,59.437853156182726,71.73345025096272,13.988061194450763
109,129.5397078935013,169.51007326963366,115.94361980382408,177.60731942529782,61.96575349863286,72.60920828010724,13.994840209242259
110,133.09043262285613,175.83767837385503,124.13660846239763,177.54220386288765,67.03199632176135,72.4600105530374,13.41128037102949
111,142.52806453473468,170.04826573707913,134.99195662322663,179.24297092750496,69.1084406276981,68.98936277041182,13.2252874105735
112,142.97102412378072,154.6423698524131,140.9853886580693,179.04113548611565,66.36643163271542,50.482835735550914,13.291309211186642
113,149.8284897649747,158.65116230949567,145.00683756245263,173.215732088692,57.14850982568836,47.068389709682116,14.339380904812888
114,161.75907669918385,155.88334755192776,157.8139234242095,170.55804193906766,57.70413395510614,43.5797853357401,14.772416285108735
115,172.76331438443412,157.61854382943744,169.07193454011917,168.46572877609992,54.4295683817934,40.25064482177808,14.522192932751711
116,177.23167097303644,153.0278541898597,173.23954201467006,169.17220110625217,48.81300677877415,34.84078754877904,14.25456087991284
117,178.29115672874283,149.26558339184615,174.59961851456865,170.44484723513116,48.02968700370812,32.216937294730265,14.238097032731853
118,176.4279085440894,144.8537978560199,173.7172915231675,172.11935629612887,45.39202283625679,30.68617594069289,14.186573736272901
119,177.7205726688269,143.80445804069845,175.1885217163803,171.82700396085548,44.55207566242118,29.53789654102396,14.23534228203007
120,174.1647618089175,147.30561304543664,173.11429271188027,162.8445630331459,48.06979852522306,32.00715550137099,14.259399759097752
121,164.4823460178824,153.92646252729804,160.04550123481806,152.25696872484895,43.498046528126906,29.829376568919972,14.229349903885113
122,163.10082238069643,155.31957015241244,155.8962950189318,126.34871431202842,40.93969986496289,31.2470996280572,14.153184844924823
123,162.36530090107485,133.92688867425315,154.82013236722176,99.46188017167349,40.594861902272946,36.008288702701904,14.146513931584453
124,169.2255218497373,132.80547177971337,162.11602845684445,106.95821348169642,40.084708832201514,37.71618677124883,14.197197379063244
125,170.05489713217855,110.02483291572935,163.9498253140907,81.39732509055467,42.185870450668055,42.026406474676044,14.561898824950068
